	FILENAME	TRACK TITLE FOR REPORTING	COMPOSER/S 		PUBLISHER	DESCRIPTION	BPM	SUGGESTED USE	keywords
SERIES 4	MKR S04 Build to Celebrate 14	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	GTR and String suspence start leading into full Modern GTR track		Contestant Success	
SERIES 4	MKR S04 Build to Celebrate 15	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	Fast GTR and Piano build to full modern GTR track		Contestant Success	
SERIES 4	MKR S04 Build to Celebrate 16	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	Light GTR suspence into full track		Contestant succeeds	
SERIES 4	MKR S04 Build to Celebrate 17	My Kitchen Rules Background (Series 4)	Brydon Stace		RED MUSIC PUBLISHING	strong otchestral string builds		big successful moments	
SERIES 4	MKR S04 Build to Celebrate 18	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	strong orchestral string builds		big successful moments	
SERIES 4	MKR S04 Building Excitment	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	Floating piano and smooth keys		Something good is about to happen!	
SERIES 4	MKR S04 Busy 3	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	very Fast strings joined by fast drums and orchestral punctuations		Fast Action	
SERIES 4	MKR S04 Busy 4	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	Fast strings. Think Bourne supremacy. With modern drum beat		Fast Action	
SERIES 4	MKR S04 Cooking beat 22	My Kitchen Rules Background (Series 4)	Brydon Stace		RED MUSIC PUBLISHING	High string motiff with big power drums. Piece goes up and down in NRG		Fast cooking scenes	
SERIES 4	MKR S04 Cooking Beat 23	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	Fast drums with slap bass and hits		Busy Kitchen	
SERIES 4	MKR S04 Cooking Beat 24	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	Fast Drums and slap bass with string accents		Busy Kitchen	
SERIES 4	MKR S04 Cooking Beat 25	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	Deep bass and Drum groove, funky GTR		Relentless Kitchen	
SERIES 4	MKR S04 Cooking Beat 26	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	Bass riff with vibe accents		Moderate busy kitchen	
SERIES 4	MKR S04 Cooking Beat 27	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	Fast drums, accents stabs and dirty bass groove		Relentless Kitchen	
SERIES 4	MKR S04 Cooking Beat 28	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	Up drums and Bass with keyboards riffs		Bust kitchen/shopping	
SERIES 4	MKR S04 Cooking Beat 29	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	Up modern Latin groove with breakdowns		medium Kitchen/shopping	
SERIES 4	MKR S04 Cooking beat 30	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	Up modern funk		Up Kitchen/shopping	
SERIES 4	MKR S04 Cooking Beat 31	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	strong drums n bass with string melody and vibes, muted GTR		Up Kitchen/shopping	
SERIES 4	MKR S04 Cooking Beat 32	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	Cruisy St Germain style lounge pulses		Cruisy action	
SERIES 4	MKR S04 Cooking Beat 33	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	Busy elctro percussion and mallet string accents - Moody middle		Busy Kitchen	
SERIES 4	MKR S04 Cooking Beat 34	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	strong Bass pulse and pad swells - Moody middle		Tense busy kitchen	
SERIES 4	MKR S04 Cooking Beat 35	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	Strong Bass pulse and building keys - Moody middle		Tense busy kitchen	
SERIES 4	MKR S04 Cooking beat 36	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	funky groove, 		Medium Kitchen, shopping	
SERIES 4	MKR S04 Cooking Beat 37	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	medium funk groove with mallet riffs and synth pulses		Medium Kitchen, shopping	
SERIES 4	MKR S04 Cooking Beat 38	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	orchestral pulses and moods of medium percussion and bells		tense kitchen	
SERIES 4	MKR S04 Cooking Beat 39	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	orchestral pulses and moods of medium percussion - moody middle		tense kitchen	
SERIES 4	MKR S04 Cooking Beat 40	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	Strong Bass and Piano pulses building with key motives		tense kitchen	
SERIES 4	MKR S04 Cooking beat 41	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	Strong Bass pulse with string swells		tense kitchen	
SERIES 4	MKR S04 Countdown 3	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	Strong cello motiff building into big orchestral accents. Big finish		Fast Hollywood drama	
SERIES 4	MKR S04 Countdown 4	My Kitchen Rules Background (Series 4)	Brydon Stace		RED MUSIC PUBLISHING	fast repeated viola with cello and bass accents. Grung GTR pulse under		Fast Hollywood accents	
SERIES 4	MKR S04 Countdown 5	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	fast percussion with strong orchestral hits		Fast hollywood action	
SERIES 4	MKR S04 Countdown 6	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	repeated harp motiff punctuated by low orchestra		Fast hollywood action	
SERIES 4	MKR S04 Countdown 7	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	fast strings with modern drum beat, building through out		countdown- only seconds left	
SERIES 4	MKR S04 Countdown 8	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	fast strings, big drum punctuations, pace change to big build		countdowns, only seconds left to complete	
SERIES 4	MKR S04 Drama Surprise 40	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	Short orchestral build with breath stop…then full orchestra		Playful drama	
SERIES 4	MKR S04 Drama tease 20	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	Harp motive with big orchestral punctuations. Big build		Medium Hollywood action	
SERIES 4	MKR S04 Drama Tease 21	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	low cello motiff with Low piano hits. French horn build melody		Medium Hollywood Action	
SERIES 4	MKR S04 Drama Tease 22	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	Floating piano motiffs with low string accents and orchestral perc		Medium Building Hollywood Act	
SERIES 4	MKR S04 Drama Tease 23	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	Floating electric piano motiff with building orchestral landscape		Medium Hollywood tension	
SERIES 4	MKR S04 Drama Tease 24	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	Floating pads and piano motiff. String punctuations build to end		medium building tension	
SERIES 4	MKR S04 Drama Tease 25	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	Low string punctuations, busy percussion. Lifting toward end		Medium Hollywwod action	
SERIES 4	MKR S04 Drama Tease 26	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	low sinister bass leads to string melody and big brass stabs..builds to end		Medium Hollywood action	
SERIES 4	MKR S04 drama Tease 27	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	Low string beats joined by cello motiff. Build brass.		Medium Hollywwod action	
SERIES 4	MKR S04 Drama Tease 28	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	GTR and celle motive with broody strings and electro pulse		Medium hollywood tension	
SERIES 4	MKR S04 Drama Tease 29	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	Lo string accent with hi string melody. Smooth horn middle to big end		Fast hollywood action	
SERIES 4	MKR S04 Drama Tease 30	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	Drum and string pulse building toward end		medium Hollywood action	
SERIES 4	MKR S04 Drama Tease 31	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	string marcato strings, building orchestral pulse, soft midle section to big end		dramas/tease	
SERIES 4	MKR S04 Drama tease 32	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	fast low string motif, building with hi strings and brass accents		dramas/tease - hollywood style	
SERIES 4	MKR S04 drama tease 33	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	solid string riff, tension in middle, leading to big build to end		dramas/ tease	
SERIES 4	MKR S04 drama tease 34	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	synth pulses and building string pads, leads in to big build		drama/tease	
SERIES 4	MKR S04 Drama tease 35	My Kitchen Rules Background (Series 4)	Brydon Stace		RED MUSIC PUBLISHING	s slight underscore pulse leads into a pulsing marcato string build		drama/tease/ short countdowns	
SERIES 4	MKR S04 Drama tease 36	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	frantic hi strings and piano are punctuated by lo orchestral melodies		dramas/tease/bumpers	
SERIES 4	MKR S04 Drama Tease 37	My Kitchen Rules Background (Series 4)	Brydon Stace		RED MUSIC PUBLISHING	Robust orchestral action		Building orchestral action	
SERIES 4	MKR S04 Drama Tease 38	My Kitchen Rules Background (Series 4)	Brydon Stace		RED MUSIC PUBLISHING	Robust orchestral action		Building orchestral action	
SERIES 4	MKR S04 Drama Tease 39	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	Bass pulse with Orchestral accent hits		Building orchestral action	
SERIES 4	MKR S04 Drama tension 1	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	Big orchestral mood with string accents		big moody tension	
SERIES 4	MKR S04 Drama tension 2	My Kitchen Rules Background (Series 4)	Brydon Stace		RED MUSIC PUBLISHING	Short orchestral build swells into dark drones, hits and string pulses		big moody tension	
SERIES 4	MKR S04 Drone 4	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	Lo drum pulse with smooth drone and floaty piano motiff. Joined by bass pulse		Heatbeat style drone tension	
SERIES 4	MKR S04 Drone 5	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	Lo Drone with GTR pulses. Tense lo strings		Gentle tension	
SERIES 4	MKR S04 Drone 6	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	Smooth Pads with Heartbeat bass and build percussion		Tension	
SERIES 4	MKR S04 Elimination proud 3	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	Arpegiated piano in the style of Adele. Warm strings.		Eliminated but proud	
SERIES 4	MKR S04 Elimination proud 4	My Kitchen Rules Background (Series 4)	Brydon Stace		RED MUSIC PUBLISHING	Arpegiated piano in the style of adele. Warms strings		Eliminated but proud	
SERIES 4	MKR S04 Elimination Proud 5	My Kitchen Rules Background (Series 4)	Brydon Stace		RED MUSIC PUBLISHING	GTR and Piano bright positive. Think Cold Play paradise		Eliminated but proud	
SERIES 4	MKR S04 Elimination proud 7	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	thoughtful piano into, building strings		conestant leaves with hope and pride	
SERIES 4	MKR S04 Elimination proud 8	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	reflective piano with warm strings		faliure with a scent of being proud	
SERIES 4	MKR S04 Elimination proud 9	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	Moody Piano and string pads - Big build at end		Positve reflection	
SERIES 4	MKR S04 Elimination proud 10	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	Moody Piano - Building string orchestra		Positive reflection	
SERIES 4	MKR S04 Epic string Full	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	Big sweeping string orchestra		Positive mood, swelling emotion	
SERIES 4	MKR S04 Fairytale 1	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	Light orchestra, celest, strings, clarinet, basoon		Fairytale atmos - modern disney	
SERIES 4	MKR S04 Fairytale 2	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	Light orchestra, celest, strings, clarinet, basoon		Fairytale atmos - think My Favourite things	
SERIES 4	MKR S04 Fairytale 3	My Kitchen Rules Background (Series 4)	Brydon Stace		RED MUSIC PUBLISHING	Warm disney strings with Pizz , Harp and winds		Fairy tale ..think disney Snow white	
SERIES 4	MKR S04 Fairytale 4	My Kitchen Rules Background (Series 4)	Brydon Stace		RED MUSIC PUBLISHING	Whimsical Flutes and strings		Fairy tale action…think peter & wolf	
SERIES 4	MKR S04 frantic kitchen 24	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	Pots and Pans drum beats with random drum rythms		Busy kitchen sounds	
SERIES 4	MKR S04 frantic kitchen 25	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	Fast light percusions with fast bongo pulses		Busy Kitchen sounds	
SERIES 4	MKR S04 frantic kitchen 26	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	Fast light percussion with drum kit beats		Busy Kitchen sounds	
SERIES 4	MKR S04 frantic kitchen 27	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	medium light percussion with random large pot hits and fills		Busy kitchen sounds	
SERIES 4	MKR S04 frantic kitchen 28	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	medium light percussion with random kitchen pot accents		Busy kitchen sounds	
SERIES 4	MKR S04 judge food 8	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	bright mallets with building pianos		jugde food - suprisingly good comments	
SERIES 4	MKR S04 judge food 9	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	fast rhythm and string riffs. Piano melody		judge food - this is suprisingly good	
SERIES 4	MKR S04 judge food 10	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	up beat string riffs, mallet perc		medium indoor action	
SERIES 4	MKR S04 judge food 11	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	repeated piano melody, orchestral march toward big ending		drama, action	
SERIES 4	MKR S04 judge food 12	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	busy mallets, steady beat		judge food	
SERIES 4	MKR S04 judge food 13	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	busy mallets, counterpoint strings		judge food, comments	
SERIES 4	MKR S04 judge food 14	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	light mallet pulses building throughout		start preparing food that’s difficult	
SERIES 4	MKR S04 Light Cooking 1	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	Fast light percussion. String holds and piano marimba accents		Light cooking scenes	
SERIES 4	MKR S04 light cooking 2	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	latin marimba pulses and busy latin drums		Busy cooking moments	
SERIES 4	MKR S04 Light Fun 16	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	Fun marimba riffs and electro percussion		Light Fun cooking scenes	
SERIES 4	MKR S04 Light Fun 17	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	Light percussion with slight tango overtones		Light fun scenes	
SERIES 4	MKR S04 Light Fun 18	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	Pizz strings and acoustic bass. Pots n pans perc		Light fun scenes	
SERIES 4	MKR S04 Light Fun 19	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	bright pizz strings. Think "the Odd couple"		light fun scenes	
SERIES 4	MKR S04 Light Fun 20	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	Up tempo percussive with scratched and vibes/ pizz strings		Bright, happy quirky	
SERIES 4	MKR S04 Light Fun 21	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	bright Jazzy lounge. Upright Bass, electric piano and quirky FX		Bright, happy quirky	
SERIES 4	MKR S04 Light Fun 22	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	Comedic Off beat		Things go weird	
